Gene	Alias
FANCL	FAAP43,FLJ10335,Pog,PHF9
CCDC109B	MCUB
S100A3	S100E
ADIG	SMAF1,RP5-1100H13.2,MGC39724
BHLHA9	BHLHF42
SSNA1	N14,NA14
CHAD	SLRR4A
DSG2	CDHF5
FIS1	TTC11,H_NH0132A01.6,CGI-135
NOTCH4	INT3
CRCT1	NICE-1,C1orf42
GLP1R	GLP-1R
OR2A4	OR2A10
FCHO1	KIAA0290
KCNJ13	Kir1.4,LCA16,Kir7.1
AP3S1	CLAPS3
ZC3H4	C19orf7,KIAA1064
TATDN1	CDA11
ACSL5	ACS2,ACS5,FACL5
POU5F2	SPRM-1,FLJ25680
MARC2	MOSC2,MTARC2
MYO18B	BK125H2.1
FSIP2	FLJ34780
ACTR8	INO80N,ARP8
EFHB	FLJ25200,CFAP21
TIPRL	dJ69E11.3,TIP41,MGC3794,TIPRL1
ZNF233	FLJ38032
POM121	DKFZP586P2220,POM121A,KIAA0618,DKFZP586G1822
PDIA2	PDIR,PDA2,PDI,PDIP
PPM1K	BDP,hPTMP,PP2Ckappa,PP2Cm,DKFZp761G058
HCRT	PPOX,OX
DDX52	ROK1
TRAPPC11	C4orf41,FLJ12716,gry,foigr
SNRPD3	Sm-D3,SMD3
SDSL	SDS-RS1,cSDH
ELL3	FLJ22637
TAB2	KIAA0733,MAP3K7IP2
KRT16	NEPPK
ATP5C1	ATP5C,ATP5F1C,ATP5CL1
